figure,fold,subset,r2,spearman,rmse,mae,size,true_value,pred_value
CV_bar,1.0,train,0.9057657895789923,0.9731135395949944,0.06839772594535845,0.043083581050605696,152.0,,
CV_bar,1.0,val,0.5669733809664783,0.70668016194332,0.12285437955661156,0.10245832896056492,39.0,,
CV_bar,2.0,train,0.8988275662817006,0.9808143353034993,0.06704127215296372,0.040728300196592064,153.0,,
CV_bar,2.0,val,0.42104748925281854,0.6691104059525113,0.17414186213315183,0.13396421290879923,38.0,,
CV_bar,3.0,train,0.9289755965747606,0.973044241620093,0.05407326134669139,0.037165323698284264,153.0,,
CV_bar,3.0,val,0.2016178729897068,0.6014881278039172,0.2370787760263374,0.16116684751040644,38.0,,
CV_bar,4.0,train,0.9022909619103101,0.9758219077104525,0.07027488082154018,0.04418509240214126,153.0,,
CV_bar,4.0,val,0.5066364715217693,0.6561987088302879,0.12194081998580514,0.09033938467910396,38.0,,
CV_bar,5.0,train,0.9055573145527063,0.9793233082706766,0.06779916525171199,0.04189861567565256,153.0,,
CV_bar,5.0,val,0.4718458300833286,0.6465696465696466,0.14476306841761277,0.10642905970113473,38.0,,
scatter,,train,,,,,,0.398120663,0.3922404944896698
scatter,,train,,,,,,0.408646978,0.3939988911151886
scatter,,train,,,,,,0.587087787,0.5317571759223938
scatter,,train,,,,,,0.002806342,0.10465256869792938
scatter,,train,,,,,,0.391069348,0.4299886226654053
scatter,,train,,,,,,0.575948534,0.48914510011672974
scatter,,train,,,,,,0.381024264,0.38066840171813965
scatter,,train,,,,,,0.002902589,0.005929985549300909
scatter,,train,,,,,,0.030991338,0.06907989084720612
scatter,,train,,,,,,0.540686895,0.5288493633270264
scatter,,train,,,,,,0.480294818,0.46571359038352966
scatter,,train,,,,,,0.352737957,0.34435075521469116
scatter,,train,,,,,,0.463684717,0.46156826615333557
scatter,,train,,,,,,0.443619877,0.4254930019378662
scatter,,train,,,,,,0.602264323,0.5806479454040527
scatter,,train,,,,,,0.142713135,0.1499374508857727
scatter,,train,,,,,,0.789549668,0.620945930480957
scatter,,train,,,,,,0.016285902,0.059279631823301315
scatter,,train,,,,,,0.045813282,0.062084659934043884
scatter,,train,,,,,,0.2037992,0.21140818297863007
scatter,,train,,,,,,0.026320855,0.19668318331241608
scatter,,train,,,,,,0.055665873,0.16804225742816925
scatter,,train,,,,,,0.532723773,0.5165429711341858
scatter,,train,,,,,,0.640519731,0.5936217904090881
scatter,,train,,,,,,0.515936376,0.507465124130249
scatter,,train,,,,,,0.20414366,0.17288249731063843
scatter,,train,,,,,,0.519862216,0.46177932620048523
scatter,,train,,,,,,0.077939314,0.2833818793296814
scatter,,train,,,,,,0.147662226,0.18868130445480347
scatter,,train,,,,,,0.050281141,0.1245938166975975
scatter,,train,,,,,,0.001367712,0.04327503591775894
scatter,,train,,,,,,0.219553214,0.2975724935531616
scatter,,train,,,,,,0.335808723,0.33213111758232117
scatter,,train,,,,,,0.074418722,0.17530983686447144
scatter,,train,,,,,,0.472331695,0.4698871970176697
scatter,,train,,,,,,0.003019097,0.012935210019350052
scatter,,train,,,,,,0.009340966,0.03857461363077164
scatter,,train,,,,,,0.364095031,0.35146793723106384
scatter,,train,,,,,,0.228772605,0.18125522136688232
scatter,,train,,,,,,0.59023859,0.5314536690711975
scatter,,train,,,,,,0.462767844,0.4272180199623108
scatter,,train,,,,,,0.361780052,0.35026708245277405
scatter,,train,,,,,,0.213033788,0.27132973074913025
scatter,,train,,,,,,0.398991946,0.4033139646053314
scatter,,train,,,,,,0.051714705,0.16297703981399536
scatter,,train,,,,,,0.396175472,0.4350149929523468
scatter,,train,,,,,,0.019451902,0.02300410345196724
scatter,,train,,,,,,0.00857606,0.023804204538464546
scatter,,train,,,,,,0.0,0.023455524817109108
scatter,,train,,,,,,0.53387873,0.5089383125305176
scatter,,train,,,,,,0.017040677,0.04175871983170509
scatter,,train,,,,,,0.835089408,0.5716789960861206
scatter,,train,,,,,,0.277954511,0.2489309459924698
scatter,,train,,,,,,0.531685325,0.4987437427043915
scatter,,train,,,,,,0.545012917,0.5331640839576721
scatter,,train,,,,,,0.015171471,0.07392099499702454
scatter,,train,,,,,,0.30164632,0.34206071496009827
scatter,,train,,,,,,0.542297756,0.5471013188362122
scatter,,train,,,,,,0.300010131,0.33921921253204346
scatter,,train,,,,,,0.367808115,0.349784255027771
scatter,,train,,,,,,0.193232359,0.217056006193161
scatter,,train,,,,,,0.434359962,0.41541603207588196
scatter,,train,,,,,,0.024228762,0.07321329414844513
scatter,,train,,,,,,0.013195887,0.018283087760210037
scatter,,train,,,,,,0.855838103,0.5564459562301636
scatter,,train,,,,,,0.248589231,0.29112622141838074
scatter,,train,,,,,,1.0,0.6435795426368713
scatter,,train,,,,,,0.028012765,0.020518137142062187
scatter,,train,,,,,,0.41072894,0.4406197667121887
scatter,,train,,,,,,0.50481232,0.47556784749031067
scatter,,train,,,,,,0.383800213,0.3750002682209015
scatter,,train,,,,,,0.069849552,0.10043872892856598
scatter,,train,,,,,,0.520961451,0.3799023926258087
scatter,,train,,,,,,0.402841801,0.46113643050193787
scatter,,train,,,,,,0.917207842,0.6806076765060425
scatter,,train,,,,,,0.472980092,0.42236849665641785
scatter,,train,,,,,,0.508925586,0.47861191630363464
scatter,,train,,,,,,0.378456005,0.3816015124320984
scatter,,train,,,,,,0.64634517,0.6027941107749939
scatter,,train,,,,,,0.000324198,0.010880916379392147
scatter,,train,,,,,,0.441537916,0.4750347137451172
scatter,,train,,,,,,0.345099032,0.35511040687561035
scatter,,train,,,,,,0.340605846,0.35565146803855896
scatter,,train,,,,,,0.448594296,0.43086695671081543
scatter,,train,,,,,,0.234111747,0.23508721590042114
scatter,,train,,,,,,0.031801834,0.05491987615823746
scatter,,train,,,,,,0.013970923,0.031223442405462265
scatter,,train,,,,,,0.725115242,0.5670413374900818
scatter,,train,,,,,,0.508439289,0.5015291571617126
scatter,,train,,,,,,0.045894332,0.0634465366601944
scatter,,train,,,,,,0.309472671,0.32821357250213623
scatter,,train,,,,,,0.456906945,0.46536216139793396
scatter,,train,,,,,,0.454987083,0.41694262623786926
scatter,,train,,,,,,0.525505294,0.5209720134735107
scatter,,train,,,,,,0.55382706,0.5052537322044373
scatter,,train,,,,,,0.526092903,0.5202612280845642
scatter,,train,,,,,,0.108272124,0.2008303850889206
scatter,,train,,,,,,0.561607821,0.5448379516601562
scatter,,train,,,,,,0.463563143,0.3986848294734955
scatter,,train,,,,,,0.41275518,0.3754439651966095
scatter,,train,,,,,,0.250691454,0.2588195204734802
scatter,,train,,,,,,0.528342029,0.48260948061943054
scatter,,train,,,,,,0.364089965,0.4040606915950775
scatter,,train,,,,,,0.56544248,0.5508800745010376
scatter,,train,,,,,,0.516088344,0.4896140694618225
scatter,,train,,,,,,0.410323692,0.48630139231681824
scatter,,train,,,,,,0.315343701,0.3473140597343445
scatter,,train,,,,,,0.347809128,0.3591681122779846
scatter,,train,,,,,,0.433346842,0.3942093849182129
scatter,,train,,,,,,0.573562636,0.5534784197807312
scatter,,train,,,,,,0.497705283,0.3644222617149353
scatter,,train,,,,,,0.338594803,0.3566819727420807
scatter,,train,,,,,,0.467053341,0.4435829222202301
scatter,,train,,,,,,0.54765716,0.5450646877288818
scatter,,train,,,,,,0.059763943,0.10010025650262833
scatter,,train,,,,,,0.492001418,0.4887382984161377
scatter,,train,,,,,,0.522931969,0.503146767616272
scatter,,train,,,,,,0.392290158,0.393454372882843
scatter,,train,,,,,,0.36552353,0.35547706484794617
scatter,,train,,,,,,0.060746669,0.16776876151561737
scatter,,train,,,,,,0.104219644,0.1441442370414734
scatter,,train,,,,,,0.484023099,0.4626901149749756
scatter,,train,,,,,,0.487092852,0.4508798122406006
scatter,,train,,,,,,0.143189301,0.1739504337310791
scatter,,train,,,,,,0.27870422,0.28408947587013245
scatter,,train,,,,,,0.211220303,0.22109182178974152
scatter,,train,,,,,,0.3447799,0.38942950963974
scatter,,train,,,,,,0.553330632,0.53455650806427
scatter,,train,,,,,,0.472686287,0.4769705533981323
scatter,,train,,,,,,0.141801327,0.15182742476463318
scatter,,train,,,,,,0.172113875,0.26191356778144836
scatter,,train,,,,,,0.575604073,0.5533416867256165
scatter,,train,,,,,,0.56332506,0.5431722402572632
scatter,,train,,,,,,0.435008358,0.4252704083919525
scatter,,train,,,,,,0.386788916,0.35740241408348083
scatter,,train,,,,,,0.01622005,0.02714480645954609
scatter,,train,,,,,,0.133174611,0.15725912153720856
scatter,,train,,,,,,0.004569171,0.027685092762112617
scatter,,train,,,,,,0.242307887,0.2168872207403183
scatter,,train,,,,,,0.630408794,0.5333814024925232
scatter,,train,,,,,,0.039997974,0.08892005681991577
scatter,,train,,,,,,0.402117421,0.4379025101661682
scatter,,train,,,,,,0.576829948,0.5207340717315674
scatter,,train,,,,,,0.122025227,0.19852468371391296
scatter,,train,,,,,,0.498085203,0.4734300673007965
scatter,,train,,,,,,0.473608227,0.4595191180706024
scatter,,train,,,,,,0.465427283,0.4549614489078522
scatter,,train,,,,,,0.218231093,0.24765148758888245
scatter,,train,,,,,,0.470923459,0.4385989010334015
scatter,,train,,,,,,0.460468061,0.492188960313797
scatter,,train,,,,,,0.023722203,0.17440684139728546
scatter,,train,,,,,,0.702598653,0.5687081813812256
scatter,,test,,,,,,0.496940378,0.4986935257911682
scatter,,test,,,,,,0.280502507,0.4004543721675873
scatter,,test,,,,,,0.499640342,0.526360809803009
scatter,,test,,,,,,0.229258903,0.4022690951824188
scatter,,test,,,,,,0.527602452,0.3640061020851135
scatter,,test,,,,,,0.473106732,0.3840695321559906
scatter,,test,,,,,,0.44093511,0.3566223084926605
scatter,,test,,,,,,0.422663492,0.39201006293296814
scatter,,test,,,,,,0.005475913,0.10386896878480911
scatter,,test,,,,,,0.124552961,0.21105146408081055
scatter,,test,,,,,,0.00338382,0.01947808638215065
scatter,,test,,,,,,0.461288689,0.4494186043739319
scatter,,test,,,,,,0.36252976,0.38796210289001465
scatter,,test,,,,,,0.58335444,0.559656023979187
scatter,,test,,,,,,0.238138899,0.4207056164741516
scatter,,test,,,,,,0.549014741,0.4749572277069092
scatter,,test,,,,,,0.628195127,0.43267354369163513
scatter,,test,,,,,,0.508110025,0.38294652104377747
scatter,,test,,,,,,0.613722709,0.5200688242912292
scatter,,test,,,,,,0.51267413,0.34441497921943665
scatter,,test,,,,,,0.047697685,0.3091205656528473
scatter,,test,,,,,,0.294483562,0.37224677205085754
scatter,,test,,,,,,0.259465073,0.4022035598754883
scatter,,test,,,,,,0.216579707,0.1986256092786789
scatter,,test,,,,,,0.530960944,0.40148380398750305
scatter,,test,,,,,,0.400106378,0.3972151279449463
scatter,,test,,,,,,0.694564612,0.4969457685947418
scatter,,test,,,,,,0.585476926,0.3904494643211365
scatter,,test,,,,,,0.078602908,0.16526579856872559
scatter,,test,,,,,,0.678881516,0.5331279039382935
scatter,,test,,,,,,0.491768401,0.5472230315208435
scatter,,test,,,,,,0.534202928,0.414663702249527
scatter,,test,,,,,,0.485248974,0.44510722160339355
scatter,,test,,,,,,0.096600983,0.2799531817436218
scatter,,test,,,,,,0.254804721,0.3392333984375
scatter,,test,,,,,,0.375568614,0.48118141293525696
scatter,,test,,,,,,0.34364014,0.25502443313598633
scatter,,test,,,,,,0.52378299,0.34319281578063965
scatter,,test,,,,,,0.453578846,0.4555613100528717
